"playerID","awardID","yearID","lgID","tie","notes"
"eckerde01","ALCS MVP","1988","AL","",""
"steinte01","All-Star Game MVP","1988","ML","",""
"hershor01","Babe Ruth Award","1988","NL","","P"
"violafr01","Cy Young Award","1988","AL","",""
"hershor01","Cy Young Award","1988","NL","",""
"mattido01","Gold Glove","1988","AL","","1B"
"reynoha01","Gold Glove","1988","AL","","2B"
"gaettga01","Gold Glove","1988","AL","","3B"
"boonebo01","Gold Glove","1988","AL","","C"
"pettiga01","Gold Glove","1988","AL","","OF"
"puckeki01","Gold Glove","1988","AL","","OF"
"whitede03","Gold Glove","1988","AL","","OF"
"langsma01","Gold Glove","1988","AL","","P"
"fernato01","Gold Glove","1988","AL","","SS"
"hernake01","Gold Glove","1988","NL","","1B"
"sandbry01","Gold Glove","1988","NL","","2B"
"wallati01","Gold Glove","1988","NL","","3B"
"santibe01","Gold Glove","1988","NL","","C"
"daviser01","Gold Glove","1988","NL","","OF"
"dawsoan01","Gold Glove","1988","NL","","OF"
"vanslan01","Gold Glove","1988","NL","","OF"
"hershor01","Gold Glove","1988","NL","","P"
"smithoz01","Gold Glove","1988","NL","","SS"
"oestero01","Hutch Award","1988","ML","",""
"bellbu01","Lou Gehrig Memorial Award","1988","ML","",""
"cansejo01","Most Valuable Player","1988","AL","",""
"gibsoki01","Most Valuable Player","1988","NL","",""
"hershor01","NLCS MVP","1988","NL","",""
"murphda05","Roberto Clemente Award","1988","ML","",""
"eckerde01","Rolaids Relief Man Award","1988","AL","",""
"francjo01","Rolaids Relief Man Award","1988","NL","",""
"weisswa01","Rookie of the Year","1988","AL","",""
"saboch01","Rookie of the Year","1988","NL","",""
"brettge01","Silver Slugger","1988","AL","","1B"
"francju01","Silver Slugger","1988","AL","","2B"
"boggswa01","Silver Slugger","1988","AL","","3B"
"fiskca01","Silver Slugger","1988","AL","","C"
"molitpa01","Silver Slugger","1988","AL","","DH"
"cansejo01","Silver Slugger","1988","AL","","OF"
"greenmi01","Silver Slugger","1988","AL","","OF"
"puckeki01","Silver Slugger","1988","AL","","OF"
"trammal01","Silver Slugger","1988","AL","","SS"
"galaran01","Silver Slugger","1988","NL","","1B"
"sandbry01","Silver Slugger","1988","NL","","2B"
"bonilbo01","Silver Slugger","1988","NL","","3B"
"santibe01","Silver Slugger","1988","NL","","C"
"gibsoki01","Silver Slugger","1988","NL","","OF"
"strawda01","Silver Slugger","1988","NL","","OF"
"vanslan01","Silver Slugger","1988","NL","","OF"
"learyti01","Silver Slugger","1988","NL","","P"
"larkiba01","Silver Slugger","1988","NL","","SS"
"brettge01","TSN All-Star","1988","AL","","1B"
"rayjo01","TSN All-Star","1988","AL","","2B"
"boggswa01","TSN All-Star","1988","AL","","3B"
"whitter01","TSN All-Star","1988","AL","","C"
"baineha01","TSN All-Star","1988","AL","","DH"
"violafr01","TSN All-Star","1988","AL","","LHP"
"cansejo01","TSN All-Star","1988","AL","","OF"
"greenmi01","TSN All-Star","1988","AL","","OF"
"puckeki01","TSN All-Star","1988","AL","","OF"
"stewada01","TSN All-Star","1988","AL","","RHP"
"trammal01","TSN All-Star","1988","AL","","SS"
"clarkwi02","TSN All-Star","1988","NL","","1B"
"sandbry01","TSN All-Star","1988","NL","","2B"
"bonilbo01","TSN All-Star","1988","NL","","3B"
"lavalmi01","TSN All-Star","1988","NL","","C"
"jacksda02","TSN All-Star","1988","NL","","LHP"
"mcreyke01","TSN All-Star","1988","NL","","OF"
"strawda01","TSN All-Star","1988","NL","","OF"
"vanslan01","TSN All-Star","1988","NL","","OF"
"hershor01","TSN All-Star","1988","NL","","RHP"
"larkiba01","TSN All-Star","1988","NL","","SS"
"eckerde01","TSN Fireman of the Year","1988","AL","",""
"francjo01","TSN Fireman of the Year","1988","NL","",""
"hershor01","TSN Major League Player of the Year","1988","ML","",""
"violafr01","TSN Pitcher of the Year","1988","AL","",""
"hershor01","TSN Pitcher of the Year","1988","NL","",""
"cansejo01","TSN Player of the Year","1988","AL","",""
"vanslan01","TSN Player of the Year","1988","NL","",""
"hershor01","World Series MVP","1988","ML","",""
"henderi01","ALCS MVP","1989","AL","",""
"jacksbo01","All-Star Game MVP","1989","ML","",""
"stewada01","Babe Ruth Award","1989","AL","","P"
"saberbr01","Cy Young Award","1989","AL","",""
"davisma01","Cy Young Award","1989","NL","",""
"mattido01","Gold Glove","1989","AL","","1B"
"reynoha01","Gold Glove","1989","AL","","2B"
"gaettga01","Gold Glove","1989","AL","","3B"
"boonebo01","Gold Glove","1989","AL","","C"
"pettiga01","Gold Glove","1989","AL","","OF"
"puckeki01","Gold Glove","1989","AL","","OF"
"whitede03","Gold Glove","1989","AL","","OF"
"saberbr01","Gold Glove","1989","AL","","P"
"fernato01","Gold Glove","1989","AL","","SS"
"galaran01","Gold Glove","1989","NL","","1B"
"sandbry01","Gold Glove","1989","NL","","2B"
"pendlte01","Gold Glove","1989","NL","","3B"
"santibe01","Gold Glove","1989","NL","","C"
"daviser01","Gold Glove","1989","NL","","OF"
"gwynnto01","Gold Glove","1989","NL","","OF"
"vanslan01","Gold Glove","1989","NL","","OF"
"darliro01","Gold Glove","1989","NL","","P"
"smithoz01","Gold Glove","1989","NL","","SS"
"draveda01","Hutch Award","1989","ML","",""
"smithoz01","Lou Gehrig Memorial Award","1989","ML","",""
"yountro01","Most Valuable Player","1989","AL","",""
"mitchke01","Most Valuable Player","1989","NL","",""
"clarkwi02","NLCS MVP","1989","NL","",""
"cartega01","Roberto Clemente Award","1989","ML","",""
"russeje01","Rolaids Relief Man Award","1989","AL","",""
"davisma01","Rolaids Relief Man Award","1989","NL","",""
"olsongr01","Rookie of the Year","1989","AL","",""
"waltoje01","Rookie of the Year","1989","NL","",""
"mcgrifr01","Silver Slugger","1989","AL","","1B"
"francju01","Silver Slugger","1989","AL","","2B"
"boggswa01","Silver Slugger","1989","AL","","3B"
"tettlmi01","Silver Slugger","1989","AL","","C"
"baineha01","Silver Slugger","1989","AL","","DH"
"puckeki01","Silver Slugger","1989","AL","","OF"
"sierrru01","Silver Slugger","1989","AL","","OF"
"yountro01","Silver Slugger","1989","AL","","OF"
"ripkeca01","Silver Slugger","1989","AL","","SS"
"clarkwi02","Silver Slugger","1989","NL","","1B"
"sandbry01","Silver Slugger","1989","NL","","2B"
"johnsho01","Silver Slugger","1989","NL","","3B"
"biggicr01","Silver Slugger","1989","NL","","C"
"daviser01","Silver Slugger","1989","NL","","OF"
"gwynnto01","Silver Slugger","1989","NL","","OF"
"mitchke01","Silver Slugger","1989","NL","","OF"
"robindo01","Silver Slugger","1989","NL","","P"
"larkiba01","Silver Slugger","1989","NL","","SS"
"mcgrifr01","TSN All-Star","1989","AL","","1B"
"francju01","TSN All-Star","1989","AL","","2B"
"lansfca01","TSN All-Star","1989","AL","","3B"
"tettlmi01","TSN All-Star","1989","AL","","C"
"baineha01","TSN All-Star","1989","AL","","DH"
"finlech01","TSN All-Star","1989","AL","","LHP"
"puckeki01","TSN All-Star","1989","AL","","OF"
"sierrru01","TSN All-Star","1989","AL","","OF"
"yountro01","TSN All-Star","1989","AL","","OF"
"saberbr01","TSN All-Star","1989","AL","","RHP"
"ripkeca01","TSN All-Star","1989","AL","","SS"
"clarkwi02","TSN All-Star","1989","NL","","1B"
"sandbry01","TSN All-Star","1989","NL","","2B"
"johnsho01","TSN All-Star","1989","NL","","3B"
"santibe01","TSN All-Star","1989","NL","","C"
"davisma01","TSN All-Star","1989","NL","","LHP"
"daviser01","TSN All-Star","1989","NL","","OF"
"gwynnto01","TSN All-Star","1989","NL","","OF"
"mitchke01","TSN All-Star","1989","NL","","OF"
"scottmi03","TSN All-Star","1989","NL","","RHP"
"dunstsh01","TSN All-Star","1989","NL","","SS"
"russeje01","TSN Fireman of the Year","1989","AL","",""
"davisma01","TSN Fireman of the Year","1989","NL","",""
"mitchke01","TSN Major League Player of the Year","1989","ML","",""
"saberbr01","TSN Pitcher of the Year","1989","AL","",""
"davisma01","TSN Pitcher of the Year","1989","NL","",""
"sierrru01","TSN Player of the Year","1989","AL","",""
"mitchke01","TSN Player of the Year","1989","NL","",""
"stewada01","World Series MVP","1989","ML","",""
"stewada01","ALCS MVP","1990","AL","",""
"francju01","All-Star Game MVP","1990","ML","",""
"hatchbi01","Babe Ruth Award","1990","NL","","OF"
"welchbo01","Cy Young Award","1990","AL","",""
"drabedo01","Cy Young Award","1990","NL","",""
"mcgwima01","Gold Glove","1990","AL","","1B"
"reynoha01","Gold Glove","1990","AL","","2B"
"grubeke01","Gold Glove","1990","AL","","3B"
"alomasa02","Gold Glove","1990","AL","","C"
"burksel01","Gold Glove","1990","AL","","OF"
"griffke02","Gold Glove","1990","AL","","OF"
"pettiga01","Gold Glove","1990","AL","","OF"
"boddimi01","Gold Glove","1990","AL","","P"
"guilloz01","Gold Glove","1990","AL","","SS"
"galaran01","Gold Glove","1990","NL","","1B"
"sandbry01","Gold Glove","1990","NL","","2B"
"wallati01","Gold Glove","1990","NL","","3B"
"santibe01","Gold Glove","1990","NL","","C"
"bondsba01","Gold Glove","1990","NL","","OF"
"gwynnto01","Gold Glove","1990","NL","","OF"
"vanslan01","Gold Glove","1990","NL","","OF"
"maddugr01","Gold Glove","1990","NL","","P"
"smithoz01","Gold Glove","1990","NL","","SS"
"breamsi01","Hutch Award","1990","ML","",""
"davisgl01","Lou Gehrig Memorial Award","1990","ML","",""
"henderi01","Most Valuable Player","1990","AL","",""
"bondsba01","Most Valuable Player","1990","NL","",""
"dibblro01","NLCS MVP","1990","NL","",""
"myersra01","NLCS MVP","1990","NL","",""
"stewada01","Roberto Clemente Award","1990","ML","",""
"thigpbo01","Rolaids Relief Man Award","1990","AL","",""
"francjo01","Rolaids Relief Man Award","1990","NL","",""
"alomasa02","Rookie of the Year","1990","AL","",""
"justida01","Rookie of the Year","1990","NL","",""
"fieldce01","Silver Slugger","1990","AL","","1B"
"francju01","Silver Slugger","1990","AL","","2B"
"grubeke01","Silver Slugger","1990","AL","","3B"
"parrila02","Silver Slugger","1990","AL","","C"
"parkeda01","Silver Slugger","1990","AL","","DH"
"burksel01","Silver Slugger","1990","AL","","OF"
"cansejo01","Silver Slugger","1990","AL","","OF"
"henderi01","Silver Slugger","1990","AL","","OF"
"trammal01","Silver Slugger","1990","AL","","SS"
"murraed02","Silver Slugger","1990","NL","","1B"
"sandbry01","Silver Slugger","1990","NL","","2B"
"willima04","Silver Slugger","1990","NL","","3B"
"santibe01","Silver Slugger","1990","NL","","C"
"bondsba01","Silver Slugger","1990","NL","","OF"
"bonilbo01","Silver Slugger","1990","NL","","OF"
"strawda01","Silver Slugger","1990","NL","","OF"
"robindo01","Silver Slugger","1990","NL","","P"
"larkiba01","Silver Slugger","1990","NL","","SS"
"fieldce01","TSN All-Star","1990","AL","","1B"
"francju01","TSN All-Star","1990","AL","","2B"
"grubeke01","TSN All-Star","1990","AL","","3B"
"fiskca01","TSN All-Star","1990","AL","","C"
"parkeda01","TSN All-Star","1990","AL","","DH"
"finlech01","TSN All-Star","1990","AL","","LHP"
"burksel01","TSN All-Star","1990","AL","","OF"
"cansejo01","TSN All-Star","1990","AL","","OF"
"henderi01","TSN All-Star","1990","AL","","OF"
"welchbo01","TSN All-Star","1990","AL","","RHP"
"trammal01","TSN All-Star","1990","AL","","SS"
"murraed02","TSN All-Star","1990","NL","","1B"
"sandbry01","TSN All-Star","1990","NL","","2B"
"willima04","TSN All-Star","1990","NL","","3B"
"sciosmi01","TSN All-Star","1990","NL","","C"
"violafr01","TSN All-Star","1990","NL","","LHP"
"bondsba01","TSN All-Star","1990","NL","","OF"
"bonilbo01","TSN All-Star","1990","NL","","OF"
"strawda01","TSN All-Star","1990","NL","","OF"
"drabedo01","TSN All-Star","1990","NL","","RHP"
"larkiba01","TSN All-Star","1990","NL","","SS"
"thigpbo01","TSN Fireman of the Year","1990","AL","",""
"francjo01","TSN Fireman of the Year","1990","NL","",""
"bondsba01","TSN Major League Player of the Year","1990","ML","",""
"welchbo01","TSN Pitcher of the Year","1990","AL","",""
"drabedo01","TSN Pitcher of the Year","1990","NL","",""
"fieldce01","TSN Player of the Year","1990","AL","",""
"bondsba01","TSN Player of the Year","1990","NL","",""
"rijojo01","World Series MVP","1990","ML","",""
"puckeki01","ALCS MVP","1991","AL","",""
"ripkeca01","All-Star Game MVP","1991","ML","",""
"morrija02","Babe Ruth Award","1991","AL","","P"
"clemero02","Cy Young Award","1991","AL","",""
"glavito02","Cy Young Award","1991","NL","",""
"mattido01","Gold Glove","1991","AL","","1B"
"alomaro01","Gold Glove","1991","AL","","2B"
"venturo01","Gold Glove","1991","AL","","3B"
"penato01","Gold Glove","1991","AL","","C"
"griffke02","Gold Glove","1991","AL","","OF"
"puckeki01","Gold Glove","1991","AL","","OF"
"whitede03","Gold Glove","1991","AL","","OF"
"langsma01","Gold Glove","1991","AL","","P"
"ripkeca01","Gold Glove","1991","AL","","SS"
"clarkwi02","Gold Glove","1991","NL","","1B"
"sandbry01","Gold Glove","1991","NL","","2B"
"willima04","Gold Glove","1991","NL","","3B"
"pagnoto01","Gold Glove","1991","NL","","C"
"bondsba01","Gold Glove","1991","NL","","OF"
"gwynnto01","Gold Glove","1991","NL","","OF"
"vanslan01","Gold Glove","1991","NL","","OF"
"maddugr01","Gold Glove","1991","NL","","P"
"smithoz01","Gold Glove","1991","NL","","SS"
"wegmabi01","Hutch Award","1991","ML","",""
"hrbekke01","Lou Gehrig Memorial Award","1991","ML","",""
"ripkeca01","Most Valuable Player","1991","AL","",""
"pendlte01","Most Valuable Player","1991","NL","",""
"averyst01","NLCS MVP","1991","NL","",""
"reynoha01","Roberto Clemente Award","1991","ML","",""
"harvebr01","Rolaids Relief Man Award","1991","AL","",""
"smithle02","Rolaids Relief Man Award","1991","NL","",""
"knoblch01","Rookie of the Year","1991","AL","",""
"bagweje01","Rookie of the Year","1991","NL","",""
"fieldce01","Silver Slugger","1991","AL","","1B"
"francju01","Silver Slugger","1991","AL","","2B"
"boggswa01","Silver Slugger","1991","AL","","3B"
"tettlmi01","Silver Slugger","1991","AL","","C"
"thomafr04","Silver Slugger","1991","AL","","DH"
"cansejo01","Silver Slugger","1991","AL","","OF"
"cartejo01","Silver Slugger","1991","AL","","OF"
"griffke02","Silver Slugger","1991","AL","","OF"
"ripkeca01","Silver Slugger","1991","AL","","SS"
"clarkwi02","Silver Slugger","1991","NL","","1B"
"sandbry01","Silver Slugger","1991","NL","","2B"
"johnsho01","Silver Slugger","1991","NL","","3B"
"santibe01","Silver Slugger","1991","NL","","C"
"bondsba01","Silver Slugger","1991","NL","","OF"
"bonilbo01","Silver Slugger","1991","NL","","OF"
"gantro01","Silver Slugger","1991","NL","","OF"
"glavito02","Silver Slugger","1991","NL","","P"
"larkiba01","Silver Slugger","1991","NL","","SS"
"fieldce01","TSN All-Star","1991","AL","","1B"
"francju01","TSN All-Star","1991","AL","","2B"
"boggswa01","TSN All-Star","1991","AL","","3B"
"tettlmi01","TSN All-Star","1991","AL","","C"
"abbotji01","TSN All-Star","1991","AL","","LHP"
"cansejo01","TSN All-Star","1991","AL","","OF"
"cartejo01","TSN All-Star","1991","AL","","OF"
"griffke02","TSN All-Star","1991","AL","","OF"
"clemero02","TSN All-Star","1991","AL","","RHP"
"ripkeca01","TSN All-Star","1991","AL","","SS"
"clarkwi02","TSN All-Star","1991","NL","","1B"
"sandbry01","TSN All-Star","1991","NL","","2B"
"pendlte01","TSN All-Star","1991","NL","","3B"
"santibe01","TSN All-Star","1991","NL","","C"
"glavito02","TSN All-Star","1991","NL","","LHP"
"bondsba01","TSN All-Star","1991","NL","","OF"
"bonilbo01","TSN All-Star","1991","NL","","OF"
"gantro01","TSN All-Star","1991","NL","","OF"
"rijojo01","TSN All-Star","1991","NL","","RHP"
"larkiba01","TSN All-Star","1991","NL","","SS"
"eckerde01","TSN Fireman of the Year","1991","AL","Y",""
"harvebr01","TSN Fireman of the Year","1991","AL","Y",""
"smithle02","TSN Fireman of the Year","1991","NL","",""
"ripkeca01","TSN Major League Player of the Year","1991","ML","",""
"clemero02","TSN Pitcher of the Year","1991","AL","",""
"glavito02","TSN Pitcher of the Year","1991","NL","",""
"ripkeca01","TSN Player of the Year","1991","AL","",""
"bondsba01","TSN Player of the Year","1991","NL","",""
"morrija02","World Series MVP","1991","ML","",""
"alomaro01","ALCS MVP","1992","AL","",""
"griffke02","All-Star Game MVP","1992","ML","",""
"winfida01","Babe Ruth Award","1992","AL","","OF"
"winfida01","Branch Rickey Award","1992","ML","",""
"eckerde01","Cy Young Award","1992","AL","",""
"maddugr01","Cy Young Award","1992","NL","",""
"mattido01","Gold Glove","1992","AL","","1B"
"alomaro01","Gold Glove","1992","AL","","2B"
"venturo01","Gold Glove","1992","AL","","3B"
"rodriiv01","Gold Glove","1992","AL","","C"
"griffke02","Gold Glove","1992","AL","","OF"
"puckeki01","Gold Glove","1992","AL","","OF"
"whitede03","Gold Glove","1992","AL","","OF"
"langsma01","Gold Glove","1992","AL","","P"
"ripkeca01","Gold Glove","1992","AL","","SS"
"gracema01","Gold Glove","1992","NL","","1B"
"lindjo01","Gold Glove","1992","NL","","2B"
"pendlte01","Gold Glove","1992","NL","","3B"
"pagnoto01","Gold Glove","1992","NL","","C"
"bondsba01","Gold Glove","1992","NL","","OF"
"vanslan01","Gold Glove","1992","NL","","OF"
"walkela01","Gold Glove","1992","NL","","OF"
"maddugr01","Gold Glove","1992","NL","","P"
"smithoz01","Gold Glove","1992","NL","","SS"
"lansfca01","Hutch Award","1992","ML","",""
"ripkeca01","Lou Gehrig Memorial Award","1992","ML","",""
"eckerde01","Most Valuable Player","1992","AL","",""
"bondsba01","Most Valuable Player","1992","NL","",""
"smoltjo01","NLCS MVP","1992","NL","",""
"ripkeca01","Roberto Clemente Award","1992","ML","",""
"eckerde01","Rolaids Relief Man Award","1992","AL","",""
"smithle02","Rolaids Relief Man Award","1992","NL","",""
"listapa01","Rookie of the Year","1992","AL","",""
"karroer01","Rookie of the Year","1992","NL","",""
"mcgwima01","Silver Slugger","1992","AL","","1B"
"alomaro01","Silver Slugger","1992","AL","","2B"
"martied01","Silver Slugger","1992","AL","","3B"
"tettlmi01","Silver Slugger","1992","AL","","C"
"winfida01","Silver Slugger","1992","AL","","DH"
"cartejo01","Silver Slugger","1992","AL","","OF"
"gonzaju03","Silver Slugger","1992","AL","","OF"
"puckeki01","Silver Slugger","1992","AL","","OF"
"frymatr01","Silver Slugger","1992","AL","","SS"
"mcgrifr01","Silver Slugger","1992","NL","","1B"
"sandbry01","Silver Slugger","1992","NL","","2B"
"sheffga01","Silver Slugger","1992","NL","","3B"
"daultda01","Silver Slugger","1992","NL","","C"
"bondsba01","Silver Slugger","1992","NL","","OF"
"vanslan01","Silver Slugger","1992","NL","","OF"
"walkela01","Silver Slugger","1992","NL","","OF"
"goodedw01","Silver Slugger","1992","NL","","P"
"larkiba01","Silver Slugger","1992","NL","","SS"
"mcgwima01","TSN All-Star","1992","AL","","1B"
"alomaro01","TSN All-Star","1992","AL","","2B"
"martied01","TSN All-Star","1992","AL","","3B"
"tettlmi01","TSN All-Star","1992","AL","","C"
"flemida01","TSN All-Star","1992","AL","","LHP"
"cartejo01","TSN All-Star","1992","AL","","OF"
"devermi01","TSN All-Star","1992","AL","","OF"
"puckeki01","TSN All-Star","1992","AL","","OF"
"mcdowja01","TSN All-Star","1992","AL","","RHP"
"frymatr01","TSN All-Star","1992","AL","","SS"
"mcgrifr01","TSN All-Star","1992","NL","","1B"
"sandbry01","TSN All-Star","1992","NL","","2B"
